城市,日期,累积确诊人数,累积治愈人数,累积死亡人数
衢州,2020/4/19,14,14,0
衢州,2020/4/20,14,14,0
衢州,2020/4/21,14,14,0
衢州,2020/4/22,14,14,0
衢州,2020/4/23,14,14,0
衢州,2020/4/24,14,14,0
衢州,2020/4/25,14,14,0
衢州,2020/4/26,14,14,0
衢州,2020/4/27,14,14,0
衢州,2020/4/28,14,14,0
衢州,2020/4/29,14,14,0
衢州,2020/4/30,14,14,0
衢州,2020/5/1,14,14,0
衢州,2020/5/2,14,14,0
衢州,2020/5/3,14,14,0
衢州,2020/5/4,14,14,0
衢州,2020/5/5,14,14,0
衢州,2020/5/6,14,14,0
衢州,2020/5/7,14,14,0
衢州,2020/5/8,14,14,0
衢州,2020/5/9,14,14,0
衢州,2020/5/10,14,14,0
衢州,2020/5/11,14,14,0
衢州,2020/5/12,14,14,0
衢州,2020/5/13,14,14,0
衢州,2020/5/14,14,14,0
衢州,2020/5/15,14,14,0
衢州,2020/5/16,14,14,0
衢州,2020/5/17,14,14,0
衢州,2020/5/18,14,14,0
衢州,2020/5/19,14,14,0
衢州,2020/5/20,14,14,0
衢州,2020/5/21,14,14,0
衢州,2020/5/22,14,14,0
衢州,2020/5/23,14,14,0
衢州,2020/5/24,14,14,0
衢州,2020/5/25,14,14,0
衢州,2020/5/26,14,14,0
衢州,2020/5/27,14,14,0
衢州,2020/5/28,14,14,0
衢州,2020/5/29,14,14,0
衢州,2020/5/30,14,14,0
衢州,2020/5/31,14,14,0
衢州,2020/6/1,14,14,0
衢州,2020/6/2,14,14,0
衢州,2020/6/3,14,14,0
衢州,2020/6/4,14,14,0
衢州,2020/6/5,14,14,0
衢州,2020/6/6,14,14,0
衢州,2020/6/7,14,14,0
衢州,2020/6/8,14,14,0
衢州,2020/6/9,14,14,0
衢州,2020/6/10,14,14,0
衢州,2020/6/11,14,14,0
衢州,2020/6/12,14,14,0
衢州,2020/6/13,14,14,0
衢州,2020/6/14,14,14,0
衢州,2020/6/15,14,14,0
衢州,2020/6/16,14,14,0
衢州,2020/6/17,14,14,0
衢州,2020/6/18,14,14,0
衢州,2020/6/19,14,14,0
衢州,2020/6/20,14,14,0
衢州,2020/6/21,14,14,0
衢州,2020/6/22,14,14,0
衢州,2020/6/23,14,14,0
衢州,2020/6/24,14,14,0
衢州,2020/6/25,14,14,0
衢州,2020/6/26,14,14,0
衢州,2020/6/27,14,14,0
衢州,2020/6/28,14,14,0
衢州,2020/6/29,14,14,0
衢州,2020/6/30,14,14,0
东丽区,2020/2/1,3,0,0
东丽区,2020/2/2,3,0,0
东丽区,2020/2/3,3,0,0
东丽区,2020/2/4,3,0,0
东丽区,2020/2/5,3,0,0
东丽区,2020/2/6,4,0,0
东丽区,2020/2/7,4,0,0
东丽区,2020/2/8,4,0,0
东丽区,2020/2/9,4,0,0
东丽区,2020/2/10,4,0,0
东丽区,2020/2/11,4,0,0
东丽区,2020/2/12,4,0,0
东丽区,2020/2/13,4,1,0
东丽区,2020/2/14,4,1,0
东丽区,2020/2/15,4,1,0
东丽区,2020/2/16,4,1,0
东丽区,2020/2/17,4,1,0
东丽区,2020/2/18,4,1,0
东丽区,2020/2/19,4,2,0
东丽区,2020/2/20,4,2,0
东丽区,2020/2/21,4,2,0
东丽区,2020/2/22,4,2,0
东丽区,2020/2/23,4,4,0
东丽区,2020/2/24,4,4,0
东丽区,2020/2/25,4,4,0
东丽区,2020/2/26,4,4,0
东丽区,2020/2/27,4,4,0
东丽区,2020/2/28,4,4,0
东丽区,2020/2/29,4,4,0
东丽区,2020/3/1,4,4,0
东丽区,2020/3/2,4,4,0
东丽区,2020/3/3,4,4,0
东丽区,2020/3/4,4,4,0
东丽区,2020/3/5,4,4,0
东丽区,2020/3/6,4,4,0
东丽区,2020/3/7,4,4,0
东丽区,2020/3/8,4,4,0
东丽区,2020/3/9,4,4,0
东丽区,2020/3/10,4,4,0
东丽区,2020/3/11,4,4,0
东丽区,2020/3/12,4,4,0
东丽区,2020/3/13,4,4,0
东丽区,2020/3/14,4,4,0
东丽区,2020/3/15,4,4,0
东丽区,2020/3/16,4,4,0
东丽区,2020/3/17,4,4,0
东丽区,2020/3/18,4,4,0
东丽区,2020/3/19,4,4,0
东丽区,2020/3/20,4,4,0
东丽区,2020/3/21,4,4,0
东丽区,2020/3/22,4,4,0
东丽区,2020/3/23,4,4,0
东丽区,2020/3/24,4,4,0
东丽区,2020/3/25,4,4,0
东丽区,2020/3/26,4,4,0
东丽区,2020/3/27,4,4,0
东丽区,2020/3/28,4,4,0
东丽区,2020/3/29,4,4,0
东丽区,2020/3/30,4,4,0
东丽区,2020/3/31,4,4,0
东丽区,2020/4/1,4,4,0
东丽区,2020/4/2,4,4,0
东丽区,2020/4/3,4,4,0
东丽区,2020/4/4,4,4,0
东丽区,2020/4/5,4,4,0
东丽区,2020/4/6,4,4,0
东丽区,2020/4/7,4,4,0
东丽区,2020/4/8,4,4,0
东丽区,2020/4/9,4,4,0
东丽区,2020/4/10,4,4,0
东丽区,2020/4/11,4,4,0
东丽区,2020/4/12,4,4,0
东丽区,2020/4/13,4,4,0
东丽区,2020/4/14,4,4,0
东丽区,2020/4/15,4,4,0
东丽区,2020/4/16,4,4,0
东丽区,2020/4/17,4,4,0
东丽区,2020/4/18,4,4,0
东丽区,2020/4/19,4,4,0
东丽区,2020/4/20,4,4,0
东丽区,2020/4/21,4,4,0
东丽区,2020/4/22,4,4,0
东丽区,2020/4/23,4,4,0
东丽区,2020/4/24,4,4,0
东丽区,2020/4/25,4,4,0
东丽区,2020/4/26,4,4,0
东丽区,2020/4/27,4,4,0
东丽区,2020/4/28,4,4,0
东丽区,2020/4/29,4,4,0
东丽区,2020/4/30,4,4,0
东丽区,2020/5/1,4,4,0
东丽区,2020/5/2,4,4,0
东丽区,2020/5/3,4,4,0
东丽区,2020/5/4,4,4,0
东丽区,2020/5/5,4,4,0
东丽区,2020/5/6,4,4,0
东丽区,2020/5/7,4,4,0
东丽区,2020/5/8,4,4,0
东丽区,2020/5/9,4,4,0
东丽区,2020/5/10,4,4,0
东丽区,2020/5/11,4,4,0
东丽区,2020/5/12,4,4,0
东丽区,2020/5/13,4,4,0
东丽区,2020/5/14,4,4,0
东丽区,2020/5/15,4,4,0
东丽区,2020/5/16,4,4,0
东丽区,2020/5/17,4,4,0
东丽区,2020/5/18,4,4,0
东丽区,2020/5/19,4,4,0
东丽区,2020/5/20,4,4,0
东丽区,2020/5/21,4,4,0
东丽区,2020/5/22,4,4,0
东丽区,2020/5/23,4,4,0
东丽区,2020/5/24,4,4,0
东丽区,2020/5/25,4,4,0
东丽区,2020/5/26,4,4,0
东丽区,2020/5/27,4,4,0
东丽区,2020/5/28,4,4,0
东丽区,2020/5/29,4,4,0
东丽区,2020/5/30,4,4,0
东丽区,2020/5/31,4,4,0
东丽区,2020/6/1,4,4,0
东丽区,2020/6/2,4,4,0
东丽区,2020/6/3,4,4,0
东丽区,2020/6/4,4,4,0
东丽区,2020/6/5,4,4,0
东丽区,2020/6/6,4,4,0
东丽区,2020/6/7,4,4,0
东丽区,2020/6/8,4,4,0
东丽区,2020/6/9,4,4,0
东丽区,2020/6/10,4,4,0
东丽区,2020/6/11,4,4,0
东丽区,2020/6/12,4,4,0
东丽区,2020/6/13,4,4,0
东丽区,2020/6/14,4,4,0
东丽区,2020/6/15,4,4,0
东丽区,2020/6/16,4,4,0
东丽区,2020/6/17,4,4,0
东丽区,2020/6/18,4,4,0
东丽区,2020/6/19,4,4,0
东丽区,2020/6/20,4,4,0
东丽区,2020/6/21,4,4,0
东丽区,2020/6/22,4,4,0
东丽区,2020/6/23,4,4,0
东丽区,2020/6/24,4,4,0
东丽区,2020/6/25,4,4,0
东丽区,2020/6/26,4,4,0
东丽区,2020/6/27,4,4,0
东丽区,2020/6/28,4,4,0
东丽区,2020/6/29,4,4,0
东丽区,2020/6/30,4,4,0
外地来沪,2020/1/20,1,0,0
外地来沪,2020/1/21,1,0,0
外地来沪,2020/1/22,1,0,0
外地来沪,2020/1/23,1,0,0
外地来沪,2020/1/24,1,1,0
外地来沪,2020/1/25,2,1,0
外地来沪,2020/1/26,2,1,1
外地来沪,2020/1/27,34,3,1
外地来沪,2020/1/28,41,4,1
外地来沪,2020/1/29,49,5,1
外地来沪,2020/1/30,59,5,1
外地来沪,2020/1/31,69,5,1
外地来沪,2020/2/1,75,5,1
外地来沪,2020/2/2,77,5,1
外地来沪,2020/2/3,80,5,1
外地来沪,2020/2/4,85,5,1
外地来沪,2020/2/5,89,8,1
外地来沪,2020/2/6,93,14,1
外地来沪,2020/2/7,95,16,1
外地来沪,2020/2/8,98,20,1
外地来沪,2020/2/9,98,21,1
外地来沪,2020/2/10,98,23,1
外地来沪,2020/2/11,100,26,1
外地来沪,2020/2/12,100,26,1
外地来沪,2020/2/13,103,27,1
外地来沪,2020/2/14,110,35,1
外地来沪,2020/2/15,110,48,1
外地来沪,2020/2/16,110,53,1
外地来沪,2020/2/17,111,59,1
外地来沪,2020/2/18,111,64,1
外地来沪,2020/2/19,111,66,1
外地来沪,2020/2/20,111,69,1
外地来沪,2020/2/21,111,73,1
外地来沪,2020/2/22,112,77,1
外地来沪,2020/2/23,112,81,1
外地来沪,2020/2/24,112,86,1
外地来沪,2020/2/25,112,89,1
外地来沪,2020/2/26,112,89,1
外地来沪,2020/2/27,112,91,1
外地来沪,2020/2/28,112,91,1
外地来沪,2020/2/29,112,94,1
外地来沪,2020/3/1,112,95,1
外地来沪,2020/3/2,112,96,1
外地来沪,2020/3/3,112,97,1
外地来沪,2020/3/4,112,98,1
外地来沪,2020/3/5,112,98,1
外地来沪,2020/3/6,112,99,1
外地来沪,2020/3/7,112,100,1
外地来沪,2020/3/8,112,100,1
外地来沪,2020/3/9,112,100,1
外地来沪,2020/3/10,112,103,1
外地来沪,2020/3/11,112,104,1
外地来沪,2020/3/12,112,104,1
外地来沪,2020/3/13,112,106,1
外地来沪,2020/3/14,112,106,1
外地来沪,2020/3/15,112,106,1
外地来沪,2020/3/16,112,106,1
外地来沪,2020/3/17,112,106,1
外地来沪,2020/3/18,112,106,1
外地来沪,2020/3/19,112,106,1
外地来沪,2020/3/20,112,106,1
外地来沪,2020/3/21,112,106,1
外地来沪,2020/3/22,112,106,1
外地来沪,2020/3/23,112,106,1
外地来沪,2020/3/24,112,106,1
外地来沪,2020/3/25,112,106,1
外地来沪,2020/3/26,112,106,1
外地来沪,2020/3/27,112,106,1
外地来沪,2020/3/28,112,106,1
外地来沪,2020/3/29,112,106,1
外地来沪,2020/3/30,112,106,1
外地来沪,2020/3/31,112,106,1
外地来沪,2020/4/1,112,106,1
外地来沪,2020/4/2,112,106,1
外地来沪,2020/4/3,112,106,1
外地来沪,2020/4/4,112,106,1
外地来沪,2020/4/5,112,106,1
外地来沪,2020/4/6,112,106,1
外地来沪,2020/4/7,112,106,1
外地来沪,2020/4/8,112,106,1
外地来沪,2020/4/9,112,106,1
外地来沪,2020/4/10,112,106,1
外地来沪,2020/4/11,112,106,1
外地来沪,2020/4/12,112,106,1
外地来沪,2020/4/13,112,106,1
外地来沪,2020/4/14,112,106,1
外地来沪,2020/4/15,112,106,1
外地来沪,2020/4/16,112,106,1
外地来沪,2020/4/17,112,106,1
外地来沪,2020/4/18,112,106,1
外地来沪,2020/4/19,112,106,1
外地来沪,2020/4/20,112,106,1
外地来沪,2020/4/21,112,106,1
外地来沪,2020/4/22,112,106,1
外地来沪,2020/4/23,112,106,1
外地来沪,2020/4/24,112,106,1
外地来沪,2020/4/25,112,106,1
外地来沪,2020/4/26,112,106,1
外地来沪,2020/4/27,112,106,1
外地来沪,2020/4/28,112,106,1
外地来沪,2020/4/29,112,106,1
外地来沪,2020/4/30,112,106,1
外地来沪,2020/5/1,112,106,1
外地来沪,2020/5/2,112,106,1
外地来沪,2020/5/3,112,106,1
外地来沪,2020/5/4,112,106,1
外地来沪,2020/5/5,112,106,1
外地来沪,2020/5/6,112,106,1
外地来沪,2020/5/7,112,106,1
外地来沪,2020/5/8,112,106,1
外地来沪,2020/5/9,112,106,1
外地来沪,2020/5/10,112,106,1
外地来沪,2020/5/11,112,106,1
外地来沪,2020/5/12,112,106,1
外地来沪,2020/5/13,112,106,1
外地来沪,2020/5/14,112,106,1
外地来沪,2020/5/15,112,106,1
外地来沪,2020/5/16,112,106,1
外地来沪,2020/5/17,113,106,1
外地来沪,2020/5/18,113,106,1
外地来沪,2020/5/19,113,106,1
外地来沪,2020/5/20,114,106,1
外地来沪,2020/5/21,114,106,1
外地来沪,2020/5/22,114,106,1
外地来沪,2020/5/23,114,106,1
外地来沪,2020/5/24,114,106,1
外地来沪,2020/5/25,114,106,1
外地来沪,2020/5/26,114,106,1
外地来沪,2020/5/27,114,107,1
外地来沪,2020/5/28,114,107,1
外地来沪,2020/5/29,114,107,1
外地来沪,2020/5/30,114,107,1
外地来沪,2020/5/31,114,107,1
外地来沪,2020/6/1,114,108,1
外地来沪,2020/6/2,114,108,1
外地来沪,2020/6/3,114,108,1
外地来沪,2020/6/4,114,108,1
外地来沪,2020/6/5,114,108,1
外地来沪,2020/6/6,114,108,1
外地来沪,2020/6/7,114,108,1
外地来沪,2020/6/8,114,108,1
外地来沪,2020/6/9,114,108,1
外地来沪,2020/6/10,114,108,1
外地来沪,2020/6/11,114,108,1
外地来沪,2020/6/12,114,108,1
外地来沪,2020/6/13,114,108,1
外地来沪,2020/6/14,114,108,1
外地来沪,2020/6/15,114,108,1
外地来沪,2020/6/16,114,108,1
外地来沪,2020/6/17,114,108,1
外地来沪,2020/6/18,114,108,1
外地来沪,2020/6/19,114,108,1
外地来沪,2020/6/20,114,108,1
外地来沪,2020/6/21,114,108,1
外地来沪,2020/6/22,114,108,1
外地来沪,2020/6/23,114,108,1
外地来沪,2020/6/24,114,108,1
外地来沪,2020/6/25,114,108,1
外地来沪,2020/6/26,114,108,1
外地来沪,2020/6/27,114,108,1
外地来沪,2020/6/28,114,108,1
外地来沪,2020/6/29,114,108,1
外地来沪,2020/6/30,114,108,1
宿州,2020/1/25,2,0,0
宿州,2020/1/26,3,0,0
宿州,2020/1/27,3,0,0
宿州,2020/1/28,9,0,0
宿州,2020/1/29,10,0,0
宿州,2020/1/30,10,0,0
宿州,2020/1/31,12,0,0
宿州,2020/2/1,14,0,0
宿州,2020/2/2,21,0,0
宿州,2020/2/3,23,0,0
宿州,2020/2/4,24,0,0
宿州,2020/2/5,25,0,0
宿州,2020/2/6,27,0,0
宿州,2020/2/7,28,0,0
宿州,2020/2/8,28,1,0
宿州,2020/2/9,31,3,0
宿州,2020/2/10,33,3,0
宿州,2020/2/11,36,4,0
宿州,2020/2/12,38,8,0
宿州,2020/2/13,39,10,0
宿州,2020/2/14,39,11,0
宿州,2020/2/15,39,11,0
宿州,2020/2/16,40,13,0
宿州,2020/2/17,41,16,0
宿州,2020/2/18,41,17,0
宿州,2020/2/19,41,20,0
宿州,2020/2/20,41,22,0
宿州,2020/2/21,41,23,0
宿州,2020/2/22,41,26,0
宿州,2020/2/23,41,26,0
宿州,2020/2/24,41,29,0
宿州,2020/2/25,41,29,0
宿州,2020/2/26,41,30,0
宿州,2020/2/27,41,33,0
宿州,2020/2/28,41,34,0
宿州,2020/2/29,41,36,0
宿州,2020/3/1,41,37,0
宿州,2020/3/2,41,37,0
宿州,2020/3/3,41,38,0
宿州,2020/3/4,41,41,0
宿州,2020/3/5,41,41,0
宿州,2020/3/6,41,41,0
宿州,2020/3/7,41,41,0
宿州,2020/3/8,41,41,0
宿州,2020/3/9,41,41,0
宿州,2020/3/10,41,41,0
宿州,2020/3/11,41,41,0
宿州,2020/3/12,41,41,0
宿州,2020/3/13,41,41,0
宿州,2020/3/14,41,41,0
宿州,2020/3/15,41,41,0
宿州,2020/3/16,41,41,0
宿州,2020/3/17,41,41,0
宿州,2020/3/18,41,41,0
宿州,2020/3/19,41,41,0
宿州,2020/3/20,41,41,0
宿州,2020/3/21,41,41,0
宿州,2020/3/22,41,41,0
宿州,2020/3/23,41,41,0
宿州,2020/3/24,41,41,0
宿州,2020/3/25,41,41,0
宿州,2020/3/26,41,41,0
宿州,2020/3/27,41,41,0
宿州,2020/3/28,41,41,0
宿州,2020/3/29,41,41,0
宿州,2020/3/30,41,41,0
宿州,2020/3/31,41,41,0
宿州,2020/4/1,41,41,0
宿州,2020/4/2,41,41,0
宿州,2020/4/3,41,41,0
宿州,2020/4/4,41,41,0
宿州,2020/4/5,41,41,0
宿州,2020/4/6,41,41,0
宿州,2020/4/7,41,41,0
宿州,2020/4/8,41,41,0
宿州,2020/4/9,41,41,0
宿州,2020/4/10,41,41,0
宿州,2020/4/11,41,41,0
宿州,2020/4/12,41,41,0
宿州,2020/4/13,41,41,0
宿州,2020/4/14,41,41,0
宿州,2020/4/15,41,41,0
宿州,2020/4/16,41,41,0
宿州,2020/4/17,41,41,0
宿州,2020/4/18,41,41,0
宿州,2020/4/19,41,41,0
宿州,2020/4/20,41,41,0
宿州,2020/4/21,41,41,0
宿州,2020/4/22,41,41,0
宿州,2020/4/23,41,41,0
宿州,2020/4/24,41,41,0
宿州,2020/4/25,41,41,0
宿州,2020/4/26,41,41,0
宿州,2020/4/27,41,41,0
宿州,2020/4/28,41,41,0
宿州,2020/4/29,41,41,0
宿州,2020/4/30,41,41,0
宿州,2020/5/1,41,41,0
宿州,2020/5/2,41,41,0
宿州,2020/5/3,41,41,0
宿州,2020/5/4,41,41,0
宿州,2020/5/5,41,41,0
宿州,2020/5/6,41,41,0
宿州,2020/5/7,41,41,0
宿州,2020/5/8,41,41,0
宿州,2020/5/9,41,41,0
宿州,2020/5/10,41,41,0
宿州,2020/5/11,41,41,0
宿州,2020/5/12,41,41,0
宿州,2020/5/13,41,41,0
宿州,2020/5/14,41,41,0
宿州,2020/5/15,41,41,0
宿州,2020/5/16,41,41,0
宿州,2020/5/17,41,41,0
宿州,2020/5/18,41,41,0
宿州,2020/5/19,41,41,0
宿州,2020/5/20,41,41,0
宿州,2020/5/21,41,41,0
宿州,2020/5/22,41,41,0
宿州,2020/5/23,41,41,0
宿州,2020/5/24,41,41,0
宿州,2020/5/25,41,41,0
宿州,2020/5/26,41,41,0
宿州,2020/5/27,41,41,0
宿州,2020/5/28,41,41,0
宿州,2020/5/29,41,41,0
宿州,2020/5/30,41,41,0
宿州,2020/5/31,41,41,0
宿州,2020/6/1,41,41,0
宿州,2020/6/2,41,41,0
宿州,2020/6/3,41,41,0
宿州,2020/6/4,41,41,0
宿州,2020/6/5,41,41,0
宿州,2020/6/6,41,41,0
宿州,2020/6/7,41,41,0
宿州,2020/6/8,41,41,0
宿州,2020/6/9,41,41,0
宿州,2020/6/10,41,41,0
宿州,2020/6/11,41,41,0
宿州,2020/6/12,41,41,0
宿州,2020/6/13,41,41,0
宿州,2020/6/14,41,41,0
宿州,2020/6/15,41,41,0
宿州,2020/6/16,41,41,0
宿州,2020/6/17,41,41,0
宿州,2020/6/18,41,41,0
宿州,2020/6/19,41,41,0
宿州,2020/6/20,41,41,0
宿州,2020/6/21,41,41,0
宿州,2020/6/22,41,41,0
宿州,2020/6/23,41,41,0
宿州,2020/6/24,41,41,0
宿州,2020/6/25,41,41,0
宿州,2020/6/26,41,41,0
宿州,2020/6/27,41,41,0
宿州,2020/6/28,41,41,0
宿州,2020/6/29,41,41,0
宿州,2020/6/30,41,41,0
合肥,2020/1/21,1,0,0
合肥,2020/1/22,5,0,0
合肥,2020/1/23,6,0,0
合肥,2020/1/24,10,0,0
合肥,2020/1/25,13,0,0
合肥,2020/1/26,13,0,0
合肥,2020/1/27,16,0,0
合肥,2020/1/28,29,0,0
合肥,2020/1/29,39,1,0
合肥,2020/1/30,50,1,0
合肥,2020/1/31,59,1,0
合肥,2020/2/1,59,2,0
合肥,2020/2/2,75,2,0
合肥,2020/2/3,81,5,0
合肥,2020/2/4,93,5,0
合肥,2020/2/5,104,5,0
合肥,2020/2/6,115,7,0
合肥,2020/2/7,128,9,0
合肥,2020/2/8,136,11,0
合肥,2020/2/9,147,11,0
合肥,2020/2/10,150,15,1
合肥,2020/2/11,157,22,1
合肥,2020/2/12,161,28,1
合肥,2020/2/13,166,35,1
合肥,2020/2/14,168,38,1
合肥,2020/2/15,169,43,1
合肥,2020/2/16,171,49,1
合肥,2020/2/17,173,50,1
合肥,2020/2/18,173,71,1
合肥,2020/2/19,173,75,1
合肥,2020/2/20,174,86,1
合肥,2020/2/21,174,97,1
合肥,2020/2/22,174,101,1
合肥,2020/2/23,174,103,1
合肥,2020/2/24,174,119,1
合肥,2020/2/25,174,127,1
合肥,2020/2/26,174,135,1
合肥,2020/2/27,174,138,1
合肥,2020/2/28,174,140,1
合肥,2020/2/29,174,143,1
合肥,2020/3/1,174,147,1
合肥,2020/3/2,174,153,1
合肥,2020/3/3,174,157,1
合肥,2020/3/4,174,157,1
合肥,2020/3/5,174,165,1
合肥,2020/3/6,174,169,1
合肥,2020/3/7,174,171,1
合肥,2020/3/8,174,173,1
合肥,2020/3/9,174,173,1
合肥,2020/3/10,174,173,1
合肥,2020/3/11,174,173,1
合肥,2020/3/12,174,173,1
合肥,2020/3/13,174,173,1
合肥,2020/3/14,174,173,1
合肥,2020/3/15,174,173,1
合肥,2020/3/16,174,173,1
合肥,2020/3/17,174,173,1
合肥,2020/3/18,174,173,1
合肥,2020/3/19,174,173,1
合肥,2020/3/20,174,173,1
合肥,2020/3/21,174,173,1
合肥,2020/3/22,174,173,1
合肥,2020/3/23,174,173,1
合肥,2020/3/24,174,173,1
合肥,2020/3/25,174,173,1
合肥,2020/3/26,174,173,1
合肥,2020/3/27,174,173,1
合肥,2020/3/28,174,173,1
合肥,2020/3/29,174,173,1
合肥,2020/3/30,174,173,1
合肥,2020/3/31,174,173,1
合肥,2020/4/1,174,173,1
合肥,2020/4/2,174,173,1
合肥,2020/4/3,174,173,1
合肥,2020/4/4,174,173,1
合肥,2020/4/5,174,173,1
合肥,2020/4/6,174,173,1
合肥,2020/4/7,174,173,1
合肥,2020/4/8,174,173,1
合肥,2020/4/9,174,173,1
合肥,2020/4/10,174,173,1
合肥,2020/4/11,174,173,1
合肥,2020/4/12,174,173,1
合肥,2020/4/13,174,173,1
合肥,2020/4/14,174,173,1
合肥,2020/4/15,174,173,1
合肥,2020/4/16,174,173,1
合肥,2020/4/17,174,173,1
合肥,2020/4/18,174,173,1
合肥,2020/4/19,174,173,1
合肥,2020/4/20,174,173,1
合肥,2020/4/21,174,173,1
合肥,2020/4/22,174,173,1
合肥,2020/4/23,174,173,1
合肥,2020/4/24,174,173,1
合肥,2020/4/25,174,173,1
合肥,2020/4/26,174,173,1
合肥,2020/4/27,174,173,1
合肥,2020/4/28,174,173,1
合肥,2020/4/29,174,173,1
合肥,2020/4/30,174,173,1
合肥,2020/5/1,174,173,1
合肥,2020/5/2,174,173,1
合肥,2020/5/3,174,173,1
合肥,2020/5/4,174,173,1
合肥,2020/5/5,174,173,1
合肥,2020/5/6,174,173,1
合肥,2020/5/7,174,173,1
合肥,2020/5/8,174,173,1
合肥,2020/5/9,174,173,1
合肥,2020/5/10,174,173,1
合肥,2020/5/11,174,173,1
合肥,2020/5/12,174,173,1
合肥,2020/5/13,174,173,1
合肥,2020/5/14,174,173,1
合肥,2020/5/15,174,173,1
合肥,2020/5/16,174,173,1
合肥,2020/5/17,174,173,1
合肥,2020/5/18,174,173,1
合肥,2020/5/19,174,173,1
合肥,2020/5/20,174,173,1
合肥,2020/5/21,174,173,1
合肥,2020/5/22,174,173,1
合肥,2020/5/23,174,173,1
合肥,2020/5/24,174,173,1
合肥,2020/5/25,174,173,1
合肥,2020/5/26,174,173,1
合肥,2020/5/27,174,173,1
合肥,2020/5/28,174,173,1
合肥,2020/5/29,174,173,1
合肥,2020/5/30,174,173,1
合肥,2020/5/31,174,173,1
合肥,2020/6/1,174,173,1
合肥,2020/6/2,174,173,1
合肥,2020/6/3,174,173,1
合肥,2020/6/4,174,173,1
合肥,2020/6/5,174,173,1
合肥,2020/6/6,174,173,1
合肥,2020/6/7,174,173,1
合肥,2020/6/8,174,173,1
合肥,2020/6/9,174,173,1
合肥,2020/6/10,174,173,1
合肥,2020/6/11,174,173,1
合肥,2020/6/12,174,173,1
合肥,2020/6/13,174,173,1
合肥,2020/6/14,174,173,1
合肥,2020/6/15,174,173,1
合肥,2020/6/16,174,173,1
合肥,2020/6/17,174,173,1
合肥,2020/6/18,174,173,1
合肥,2020/6/19,174,173,1
合肥,2020/6/20,174,173,1
合肥,2020/6/21,174,173,1
合肥,2020/6/22,174,173,1
合肥,2020/6/23,174,173,1
合肥,2020/6/24,174,173,1
合肥,2020/6/25,174,173,1
合肥,2020/6/26,174,173,1
