省份,日期,新增确诊人数,新增治愈人数,新增死亡人数,累积确诊人数,累积治愈人数,累积死亡人数
上海,2020/5/17,1,0,0,667,633,1
上海,2020/5/18,0,0,0,667,633,1
上海,2020/5/19,0,1,0,667,634,1
上海,2020/5/2,1,0,0,654,605,1
上海,2020/5/20,1,3,0,668,637,1
上海,2020/5/21,0,1,0,668,638,1
上海,2020/5/22,0,1,0,668,639,1
上海,2020/5/23,1,0,0,669,639,1
上海,2020/5/24,0,1,0,669,640,1
上海,2020/5/25,1,4,0,670,644,1
上海,2020/5/26,1,1,0,671,645,1
上海,2020/5/27,1,2,0,672,647,1
上海,2020/5/28,0,0,0,672,647,1
上海,2020/5/29,1,2,0,673,649,1
上海,2020/5/3,2,2,0,656,607,1
上海,2020/5/30,0,0,0,673,649,1
上海,2020/5/31,0,0,0,673,649,1
上海,2020/5/4,1,4,0,657,611,1
上海,2020/5/5,0,1,0,657,612,1
上海,2020/5/6,1,0,0,658,612,1
上海,2020/5/7,0,3,0,658,615,1
上海,2020/5/8,0,0,0,658,615,1
上海,2020/5/9,2,3,0,660,618,1
上海,2020/6/1,1,3,0,674,652,1
上海,2020/6/10,6,0,0,685,657,1
上海,2020/6/11,5,1,0,690,658,1
上海,2020/6/12,1,0,0,691,658,1
上海,2020/6/13,1,0,0,692,658,1
上海,2020/6/14,1,1,0,693,659,1
上海,2020/6/15,3,0,0,696,659,1
上海,2020/6/16,0,0,0,696,659,1
上海,2020/6/17,2,1,0,698,660,1
上海,2020/6/18,0,0,0,698,660,1
上海,2020/6/19,1,0,0,699,660,1
上海,2020/6/2,0,1,0,674,653,1
上海,2020/6/20,0,0,0,699,660,1
上海,2020/6/21,3,0,0,702,660,1
上海,2020/6/22,0,1,0,702,661,1
上海,2020/6/23,2,0,0,704,661,1
上海,2020/6/24,0,1,0,704,662,1
上海,2020/6/25,2,2,0,706,664,1
上海,2020/6/26,1,2,0,707,666,1
上海,2020/6/27,1,1,0,708,667,1
上海,2020/6/28,1,0,0,709,667,1
上海,2020/6/29,4,0,0,713,667,1
上海,2020/6/3,0,0,0,674,653,1
上海,2020/6/30,0,0,0,713,667,1
上海,2020/6/4,4,1,0,678,654,1
上海,2020/6/5,0,1,0,678,655,1
上海,2020/6/6,0,1,0,678,656,1
上海,2020/6/7,1,0,0,679,656,1
上海,2020/6/8,0,0,0,679,656,1
上海,2020/6/9,0,1,0,679,657,1
云南,2020/1/21,1,0,0,1,0,0
云南,2020/1/22,0,0,0,1,0,0
云南,2020/1/23,1,0,0,2,0,0
云南,2020/1/24,3,0,0,5,0,0
云南,2020/1/25,6,0,0,11,0,0
云南,2020/1/26,8,0,0,19,0,0
云南,2020/1/27,25,0,0,44,0,0
云南,2020/1/28,7,0,0,51,0,0
云南,2020/1/29,19,0,0,70,0,0
云南,2020/1/30,10,0,0,80,0,0
云南,2020/1/31,11,1,0,91,1,0
云南,2020/2/1,8,1,0,99,2,0
云南,2020/2/10,8,1,0,149,19,0
云南,2020/2/11,5,1,0,154,20,0
云南,2020/2/12,1,3,0,155,23,0
云南,2020/2/13,7,4,0,162,27,0
云南,2020/2/14,6,8,0,168,35,0
云南,2020/2/15,1,7,0,169,42,0
云南,2020/2/16,2,0,0,171,42,0
云南,2020/2/17,1,5,0,172,47,0
云南,2020/2/18,0,10,0,172,57,0
云南,2020/2/19,0,3,1,172,60,1
云南,2020/2/2,10,1,0,109,3,0
云南,2020/2/20,2,19,1,174,79,2
云南,2020/2/21,0,17,0,174,96,2
云南,2020/2/22,0,11,0,174,107,2
云南,2020/2/23,0,8,0,174,115,2
云南,2020/2/24,0,9,0,174,124,2
云南,2020/2/25,0,5,0,174,129,2
云南,2020/2/26,0,15,0,174,144,2
云南,2020/2/27,0,6,0,174,150,2
云南,2020/2/28,0,6,0,174,156,2
云南,2020/2/29,0,1,0,174,157,2
云南,2020/2/3,8,2,0,117,5,0
云南,2020/2/4,5,0,0,122,5,0
云南,2020/2/5,6,0,0,128,5,0
云南,2020/2/6,7,2,0,135,7,0
云南,2020/2/7,3,5,0,138,12,0
云南,2020/2/8,2,5,0,140,17,0
云南,2020/2/9,1,1,0,141,18,0
云南,2020/3/1,0,6,0,174,163,2
云南,2020/3/10,0,0,0,174,170,2
云南,2020/3/11,0,0,0,174,170,2
云南,2020/3/12,0,0,0,174,170,2
云南,2020/3/13,0,0,0,174,170,2
云南,2020/3/14,0,2,0,174,172,2
云南,2020/3/15,1,0,0,175,172,2
云南,2020/3/16,1,0,0,176,172,2
云南,2020/3/17,0,0,0,176,172,2
云南,2020/3/18,0,0,0,176,172,2
云南,2020/3/19,0,0,0,176,172,2
云南,2020/3/2,0,5,0,174,168,2
云南,2020/3/20,0,0,0,176,172,2
云南,2020/3/21,0,0,0,176,172,2
云南,2020/3/22,0,0,0,176,172,2
云南,2020/3/23,0,0,0,176,172,2
云南,2020/3/24,0,0,0,176,172,2
云南,2020/3/25,2,0,0,178,172,2
云南,2020/3/26,2,0,0,180,172,2
云南,2020/3/27,0,0,0,180,172,2
云南,2020/3/28,0,0,0,180,172,2
云南,2020/3/29,0,0,0,180,172,2
云南,2020/3/3,0,1,0,174,169,2
云南,2020/3/30,1,0,0,181,172,2
云南,2020/3/31,1,0,0,182,172,2
云南,2020/3/4,0,0,0,174,169,2
云南,2020/3/5,0,0,0,174,169,2
云南,2020/3/6,0,1,0,174,170,2
云南,2020/3/7,0,0,0,174,170,2
云南,2020/3/8,0,0,0,174,170,2
云南,2020/3/9,0,0,0,174,170,2
云南,2020/4/1,1,0,0,183,172,2
云南,2020/4/10,0,1,0,184,174,2
云南,2020/4/11,0,0,0,184,174,2
云南,2020/4/12,0,0,0,184,174,2
云南,2020/4/13,0,1,0,184,175,2
云南,2020/4/14,0,1,0,184,176,2
云南,2020/4/15,0,0,0,184,176,2
云南,2020/4/16,0,1,0,184,177,2
云南,2020/4/17,0,0,0,184,177,2
云南,2020/4/18,0,1,0,184,178,2
云南,2020/4/19,0,0,0,184,178,2
云南,2020/4/2,1,0,0,184,172,2
云南,2020/4/20,0,0,0,184,178,2
云南,2020/4/21,0,0,0,184,178,2
云南,2020/4/22,0,0,0,184,178,2
云南,2020/4/23,0,2,0,184,180,2
云南,2020/4/24,1,0,0,185,180,2
云南,2020/4/25,0,1,0,185,181,2
云南,2020/4/26,0,0,0,185,181,2
云南,2020/4/27,0,0,0,185,181,2
云南,2020/4/28,0,0,0,185,181,2
云南,2020/4/29,0,0,0,185,181,2
云南,2020/4/3,0,0,0,184,172,2
云南,2020/4/30,0,0,0,185,181,2
云南,2020/4/4,0,0,0,184,172,2
云南,2020/4/5,0,0,0,184,172,2
云南,2020/4/6,0,1,0,184,173,2
云南,2020/4/7,0,0,0,184,173,2
云南,2020/4/8,0,0,0,184,173,2
云南,2020/4/9,0,0,0,184,173,2
云南,2020/5/1,0,0,0,185,181,2
云南,2020/5/10,0,0,0,185,183,2
云南,2020/5/11,0,0,0,185,183,2
云南,2020/5/12,0,0,0,185,183,2
云南,2020/5/13,0,0,0,185,183,2
云南,2020/5/14,0,0,0,185,183,2
云南,2020/5/15,0,0,0,185,183,2
云南,2020/5/16,0,0,0,185,183,2
云南,2020/5/17,0,0,0,185,183,2
云南,2020/5/18,0,0,0,185,183,2
云南,2020/5/19,0,0,0,185,183,2
云南,2020/5/2,0,0,0,185,181,2
云南,2020/5/20,0,0,0,185,183,2
云南,2020/5/21,0,0,0,185,183,2
云南,2020/5/22,0,0,0,185,183,2
云南,2020/5/23,0,0,0,185,183,2
云南,2020/5/24,0,0,0,185,183,2
云南,2020/5/25,0,0,0,185,183,2
云南,2020/5/26,0,0,0,185,183,2
云南,2020/5/27,0,0,0,185,183,2
云南,2020/5/28,0,0,0,185,183,2
云南,2020/5/29,0,0,0,185,183,2
云南,2020/5/3,0,0,0,185,181,2
云南,2020/5/30,0,0,0,185,183,2
云南,2020/5/31,0,0,0,185,183,2
云南,2020/5/4,0,0,0,185,181,2
云南,2020/5/5,0,0,0,185,181,2
云南,2020/5/6,0,0,0,185,181,2
云南,2020/5/7,0,1,0,185,182,2
云南,2020/5/8,0,0,0,185,182,2
云南,2020/5/9,0,1,0,185,183,2
云南,2020/6/1,0,0,0,185,183,2
云南,2020/6/10,0,0,0,185,183,2
云南,2020/6/11,0,0,0,185,183,2
云南,2020/6/12,0,0,0,185,183,2
云南,2020/6/13,0,0,0,185,183,2
云南,2020/6/14,0,0,0,185,183,2
云南,2020/6/15,0,0,0,185,183,2
云南,2020/6/16,0,0,0,185,183,2
云南,2020/6/17,0,0,0,185,183,2
云南,2020/6/18,0,0,0,185,183,2
云南,2020/6/19,0,0,0,185,183,2
云南,2020/6/2,0,0,0,185,183,2
云南,2020/6/20,0,0,0,185,183,2
云南,2020/6/21,0,0,0,185,183,2
云南,2020/6/22,0,0,0,185,183,2
云南,2020/6/23,0,0,0,185,183,2
云南,2020/6/24,0,0,0,185,183,2
云南,2020/6/25,0,0,0,185,183,2
云南,2020/6/26,0,0,0,185,183,2
云南,2020/6/27,0,0,0,185,183,2
云南,2020/6/28,0,0,0,185,183,2
云南,2020/6/29,0,0,0,185,183,2
云南,2020/6/3,0,0,0,185,183,2
云南,2020/6/30,0,0,0,185,183,2
云南,2020/6/4,0,0,0,185,183,2
云南,2020/6/5,0,0,0,185,183,2
云南,2020/6/6,0,0,0,185,183,2
云南,2020/6/7,0,0,0,185,183,2
云南,2020/6/8,0,0,0,185,183,2
云南,2020/6/9,0,0,0,185,183,2
内蒙古,2020/1/23,1,0,0,1,0,0
内蒙古,2020/1/24,1,0,0,2,0,0
内蒙古,2020/1/25,5,0,0,7,0,0
内蒙古,2020/1/26,4,0,0,11,0,0
内蒙古,2020/1/27,2,0,0,13,0,0
内蒙古,2020/1/28,3,0,0,16,0,0
内蒙古,2020/1/29,2,0,0,18,0,0
内蒙古,2020/1/30,2,0,0,20,0,0
内蒙古,2020/1/31,3,1,0,23,1,0
内蒙古,2020/2/1,4,0,0,27,1,0
内蒙古,2020/2/10,0,0,0,58,5,0
内蒙古,2020/2/11,2,0,0,60,5,0
内蒙古,2020/2/12,1,1,0,61,6,0
内蒙古,2020/2/13,4,0,0,65,6,0
内蒙古,2020/2/14,3,0,0,68,6,0
内蒙古,2020/2/15,2,1,0,70,7,0
内蒙古,2020/2/16,2,1,0,72,8,0
内蒙古,2020/2/17,1,0,0,73,8,0
内蒙古,2020/2/18,2,1,0,75,9,0
内蒙古,2020/2/19,0,2,0,75,11,0
内蒙古,2020/2/2,7,0,0,34,1,0
内蒙古,2020/2/20,0,5,0,75,16,0
内蒙古,2020/2/21,0,6,0,75,22,0
内蒙古,2020/2/22,0,4,0,75,26,0
内蒙古,2020/2/23,0,4,0,75,30,0
内蒙古,2020/2/24,0,4,0,75,34,0
内蒙古,2020/2/25,0,1,0,75,35,0
内蒙古,2020/2/26,0,3,0,75,38,0
内蒙古,2020/2/27,0,5,0,75,43,0
内蒙古,2020/2/28,0,3,0,75,46,0
内蒙古,2020/2/29,0,5,0,75,51,0
内蒙古,2020/2/3,1,0,0,35,1,0
内蒙古,2020/2/4,7,0,0,42,1,0
内蒙古,2020/2/5,4,3,0,46,4,0
内蒙古,2020/2/6,4,0,0,50,4,0
内蒙古,2020/2/7,2,1,0,52,5,0
内蒙古,2020/2/8,2,0,0,54,5,0
内蒙古,2020/2/9,4,0,0,58,5,0
内蒙古,2020/3/1,0,0,0,75,51,0
内蒙古,2020/3/10,0,0,0,75,70,1
内蒙古,2020/3/11,0,1,0,75,71,1
内蒙古,2020/3/12,0,0,0,75,71,1
内蒙古,2020/3/13,0,0,0,75,71,1
内蒙古,2020/3/14,0,0,0,75,71,1
内蒙古,2020/3/15,0,0,0,75,71,1
内蒙古,2020/3/16,0,2,0,75,73,1
内蒙古,2020/3/17,0,0,0,75,73,1
内蒙古,2020/3/18,0,1,0,75,74,1
内蒙古,2020/3/19,0,0,0,75,74,1
内蒙古,2020/3/2,0,3,1,75,54,1
内蒙古,2020/3/20,0,0,0,75,74,1
内蒙古,2020/3/21,0,0,0,75,74,1
内蒙古,2020/3/22,0,0,0,75,74,1
内蒙古,2020/3/23,0,0,0,75,74,1
内蒙古,2020/3/24,2,0,0,77,74,1
内蒙古,2020/3/25,12,0,0,89,74,1
内蒙古,2020/3/26,3,0,0,92,74,1
内蒙古,2020/3/27,2,0,0,94,74,1
内蒙古,2020/3/28,1,0,0,95,74,1
内蒙古,2020/3/29,2,0,0,97,74,1
内蒙古,2020/3/3,0,5,0,75,59,1
内蒙古,2020/3/30,10,0,0,107,74,1
内蒙古,2020/3/31,4,0,0,111,74,1
内蒙古,2020/3/4,0,4,0,75,63,1
内蒙古,2020/3/5,0,2,0,75,65,1
内蒙古,2020/3/6,0,0,0,75,65,1
内蒙古,2020/3/7,0,3,0,75,68,1
内蒙古,2020/3/8,0,2,0,75,70,1
内蒙古,2020/3/9,0,0,0,75,70,1
内蒙古,2020/4/1,6,0,0,117,74,1
内蒙古,2020/4/10,27,0,0,155,79,1
内蒙古,2020/4/11,0,4,0,155,83,1
内蒙古,2020/4/12,35,0,0,190,83,1
内蒙古,2020/4/13,0,8,0,190,91,1
内蒙古,2020/4/14,0,3,0,190,94,1
内蒙古,2020/4/15,3,0,0,193,94,1
内蒙古,2020/4/16,0,9,0,193,103,1
内蒙古,2020/4/17,0,1,0,193,104,1
内蒙古,2020/4/18,0,0,0,193,104,1
内蒙古,2020/4/19,1,0,0,194,104,1
内蒙古,2020/4/2,0,0,0,117,74,1
内蒙古,2020/4/20,0,4,0,194,108,1
内蒙古,2020/4/21,0,0,0,194,108,1
内蒙古,2020/4/22,0,0,0,194,108,1
内蒙古,2020/4/23,0,0,0,194,108,1
内蒙古,2020/4/24,3,6,0,197,114,1
内蒙古,2020/4/25,1,7,0,198,121,1
内蒙古,2020/4/26,0,8,0,198,129,1
内蒙古,2020/4/27,1,16,0,199,145,1
内蒙古,2020/4/28,0,1,0,199,146,1
内蒙古,2020/4/29,1,4,0,200,150,1
内蒙古,2020/4/3,0,0,0,117,74,1
内蒙古,2020/4/30,1,2,0,201,152,1
内蒙古,2020/4/4,0,0,0,117,74,1
内蒙古,2020/4/5,1,0,0,118,74,1
内蒙古,2020/4/6,3,0,0,121,74,1
内蒙古,2020/4/7,3,0,0,124,74,1
内蒙古,2020/4/8,2,5,0,126,79,1
内蒙古,2020/4/9,2,0,0,128,79,1
内蒙古,2020/5/1,0,2,0,201,154,1
内蒙古,2020/5/10,7,3,0,208,187,1
内蒙古,2020/5/11,1,1,0,209,188,1
内蒙古,2020/5/12,0,2,0,209,190,1
内蒙古,2020/5/13,0,0,0,209,190,1
内蒙古,2020/5/14,0,4,0,209,194,1
内蒙古,2020/5/15,0,2,0,209,196,1
内蒙古,2020/5/16,0,0,0,209,196,1
内蒙古,2020/5/17,4,0,0,213,196,1
内蒙古,2020/5/18,3,0,0,216,196,1
内蒙古,2020/5/19,1,0,0,217,196,1
内蒙古,2020/5/2,0,0,0,201,154,1
内蒙古,2020/5/20,0,3,0,217,199,1
内蒙古,2020/5/21,0,0,0,217,199,1
内蒙古,2020/5/22,0,0,0,217,199,1
内蒙古,2020/5/23,0,0,0,217,199,1
内蒙古,2020/5/24,10,2,0,227,201,1
内蒙古,2020/5/25,5,3,0,232,204,1
内蒙古,2020/5/26,0,1,0,232,205,1
内蒙古,2020/5/27,0,0,0,232,205,1
内蒙古,2020/5/28,0,0,0,232,205,1
内蒙古,2020/5/29,0,1,0,232,206,1
内蒙古,2020/5/3,0,2,0,201,156,1
内蒙古,2020/5/30,0,0,0,232,206,1
内蒙古,2020/5/31,3,1,0,235,207,1
内蒙古,2020/5/4,0,4,0,201,160,1
内蒙古,2020/5/5,0,7,0,201,167,1
内蒙古,2020/5/6,0,4,0,201,171,1
内蒙古,2020/5/7,0,1,0,201,172,1
内蒙古,2020/5/8,0,3,0,201,175,1
内蒙古,2020/5/9,0,9,0,201,184,1
内蒙古,2020/6/1,0,2,0,235,209,1
内蒙古,2020/6/10,0,0,0,237,230,1
内蒙古,2020/6/11,0,1,0,237,231,1
内蒙古,2020/6/12,0,0,0,237,231,1
内蒙古,2020/6/13,0,0,0,237,231,1
内蒙古,2020/6/14,0,0,0,237,231,1
内蒙古,2020/6/15,1,3,0,238,234,1
内蒙古,2020/6/16,0,0,0,238,234,1
内蒙古,2020/6/17,0,0,0,238,234,1
内蒙古,2020/6/18,0,0,0,238,234,1
内蒙古,2020/6/19,0,0,0,238,234,1
内蒙古,2020/6/2,0,0,0,235,209,1
内蒙古,2020/6/20,0,1,0,238,235,1
内蒙古,2020/6/21,0,0,0,238,235,1
内蒙古,2020/6/22,0,1,0,238,236,1
内蒙古,2020/6/23,0,0,0,238,236,1
内蒙古,2020/6/24,0,0,0,238,236,1
内蒙古,2020/6/25,0,0,0,238,236,1
内蒙古,2020/6/26,0,0,0,238,236,1
内蒙古,2020/6/27,0,0,0,238,236,1
内蒙古,2020/6/28,0,1,0,238,237,1
内蒙古,2020/6/29,0,0,0,238,237,1
内蒙古,2020/6/3,0,3,0,235,212,1
内蒙古,2020/6/30,0,0,0,238,237,1
内蒙古,2020/6/4,0,1,0,235,213,1
内蒙古,2020/6/5,0,0,0,235,213,1
内蒙古,2020/6/6,0,0,0,235,213,1
内蒙古,2020/6/7,0,5,0,235,218,1
内蒙古,2020/6/8,0,8,0,235,226,1
内蒙古,2020/6/9,2,4,0,237,230,1
北京,2020/1/19,2,0,0,2,0,0
北京,2020/1/20,3,0,0,5,0,0
北京,2020/1/21,5,0,0,10,0,0
北京,2020/1/22,4,0,0,14,0,0
北京,2020/1/23,12,0,0,26,0,0
北京,2020/1/24,15,1,0,41,1,0
北京,2020/1/25,13,1,0,54,2,0
北京,2020/1/26,18,0,0,72,2,0
北京,2020/1/27,19,9,1,91,11,1
北京,2020/1/28,11,2,0,102,13,1
北京,2020/1/29,12,0,0,114,13,1
北京,2020/1/30,17,1,0,131,14,1
北京,2020/1/31,24,0,0,155,14,1
北京,2020/2/1,22,4,0,177,18,1
北京,2020/2/10,4,4,1,341,56,3
北京,2020/2/11,10,8,0,351,64,3
北京,2020/2/12,13,12,0,364,76,3
北京,2020/2/13,6,11,0,370,87,3
北京,2020/2/14,3,18,1,373,105,4
北京,2020/2/15,6,8,0,379,113,4
北京,2020/2/16,1,9,0,380,122,4
北京,2020/2/17,6,8,0,386,130,4
北京,2020/2/18,6,23,0,392,153,4
北京,2020/2/19,2,8,0,394,161,4
北京,2020/2/2,35,3,0,212,21,1
北京,2020/2/20,1,16,0,395,177,4
北京,2020/2/21,3,9,0,398,186,4
北京,2020/2/22,0,11,0,398,197,4
北京,2020/2/23,1,9,0,399,206,4
北京,2020/2/24,1,17,0,400,223,4
北京,2020/2/25,0,20,0,400,243,4
北京,2020/2/26,10,13,1,410,256,5
北京,2020/2/27,0,9,2,410,265,7
北京,2020/2/28,1,14,1,411,279,8
北京,2020/2/29,2,5,0,413,284,8
北京,2020/2/3,16,11,0,228,32,1
北京,2020/2/4,25,1,0,253,33,1
北京,2020/2/5,21,6,0,274,39,1
北京,2020/2/6,23,2,0,297,41,1
北京,2020/2/7,17,1,1,314,42,2
北京,2020/2/8,12,3,0,326,45,2
北京,2020/2/9,11,7,0,337,52,2
北京,2020/3/1,1,6,0,414,290,8
北京,2020/3/10,6,6,0,435,334,8
北京,2020/3/11,0,8,0,435,342,8
北京,2020/3/12,1,8,0,436,350,8
北京,2020/3/13,1,7,0,437,357,8
北京,2020/3/14,5,4,0,442,361,8
北京,2020/3/15,4,5,0,446,366,8
北京,2020/3/16,9,10,0,455,376,8
北京,2020/3/17,3,5,0,458,381,8
北京,2020/3/18,21,6,0,479,387,8
北京,2020/3/19,6,5,0,485,392,8
北京,2020/3/2,0,6,0,414,296,8
北京,2020/3/20,14,8,0,499,400,8
北京,2020/3/21,13,6,0,512,406,8
北京,2020/3/22,10,2,0,522,408,8
北京,2020/3/23,32,1,0,554,409,8
北京,2020/3/24,5,0,0,559,409,8
北京,2020/3/25,6,2,0,565,411,8
北京,2020/3/26,4,3,0,569,414,8
北京,2020/3/27,3,3,0,572,417,8
北京,2020/3/28,4,2,0,576,419,8
北京,2020/3/29,1,1,0,577,420,8
北京,2020/3/3,3,6,0,417,302,8
北京,2020/3/30,3,4,0,580,424,8
北京,2020/3/31,0,2,0,580,426,8
北京,2020/3/4,1,3,0,418,305,8
北京,2020/3/5,4,1,0,422,306,8
北京,2020/3/6,4,5,0,426,311,8
北京,2020/3/7,2,5,0,428,316,8
北京,2020/3/8,0,7,0,428,323,8
北京,2020/3/9,1,5,0,429,328,8
北京,2020/4/1,2,6,0,582,432,8
北京,2020/4/10,1,5,0,589,482,8
北京,2020/4/11,0,5,0,589,487,8
北京,2020/4/12,0,5,0,589,492,8
北京,2020/4/13,0,7,0,589,499,8
北京,2020/4/14,1,4,0,590,503,8
北京,2020/4/15,3,8,0,593,511,8
北京,2020/4/16,0,6,0,593,517,8
北京,2020/4/17,0,0,0,593,517,8
北京,2020/4/18,0,1,0,593,518,8
北京,2020/4/19,0,4,0,593,522,8
北京,2020/4/2,1,10,0,583,442,8
北京,2020/4/20,0,2,0,593,524,8
北京,2020/4/21,0,2,0,593,526,8
北京,2020/4/22,0,4,0,593,530,8
北京,2020/4/23,0,2,0,593,532,8
北京,2020/4/24,0,1,0,593,533,8
北京,2020/4/25,0,0,0,593,533,8
北京,2020/4/26,0,0,1,593,533,9
北京,2020/4/27,0,2,0,593,535,9
北京,2020/4/28,0,2,0,593,537,9
北京,2020/4/29,0,4,0,593,541,9
北京,2020/4/3,2,4,0,585,446,8
北京,2020/4/30,0,5,0,593,546,9
北京,2020/4/4,1,3,0,586,449,8
北京,2020/4/5,1,2,0,587,451,8
北京,2020/4/6,0,5,0,587,456,8
北京,2020/4/7,1,7,0,588,463,8
北京,2020/4/8,0,9,0,588,472,8
北京,2020/4/9,0,5,0,588,477,8
北京,2020/5/1,0,0,0,593,546,9
北京,2020/5/10,0,3,0,593,567,9
北京,2020/5/11,0,3,0,593,570,9
北京,2020/5/12,0,2,0,593,572,9
北京,2020/5/13,0,1,0,593,573,9
北京,2020/5/14,0,0,0,593,573,9
北京,2020/5/15,0,2,0,593,575,9
北京,2020/5/16,0,1,0,593,576,9
北京,2020/5/17,0,1,0,593,577,9
北京,2020/5/18,0,0,0,593,577,9
北京,2020/5/19,0,0,0,593,577,9
北京,2020/5/2,0,4,0,593,550,9
北京,2020/5/20,0,1,0,593,578,9
北京,2020/5/21,0,0,0,593,578,9
北京,2020/5/22,0,0,0,593,578,9
北京,2020/5/23,0,2,0,593,580,9
北京,2020/5/24,0,0,0,593,580,9
北京,2020/5/25,0,0,0,593,580,9
北京,2020/5/26,0,0,0,593,580,9
北京,2020/5/27,0,0,0,593,580,9
北京,2020/5/28,0,0,0,593,580,9
